frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
237,1.024e+06,2,64,1,-1,0.1256,0.0006,0.1489,0.003072,3.5586,4.4419,225.129,""
238,1.024e+06,2,64,1,-1,0.1447,0.0005,0.171,0.003904,3.5185,4.472,223.614,""
239,1.024e+06,2,64,1,-1,0.126,0.0006,0.1513,0.003072,3.6134,4.519,221.288,""
240,1.024e+06,2,64,1,-1,0.1288,0.0005,0.1453,0.003072,3.5509,4.479,223.264,""
241,1.024e+06,2,64,1,-1,0.1278,0.0004,0.1531,0.003904,3.5842,4.6037,217.217,""
242,1.024e+06,2,64,1,-1,0.1451,0.0005,0.1572,0.003072,3.7462,4.5062,221.916,""
243,1.024e+06,2,64,1,-1,0.1287,0.0005,0.1408,0.003072,3.6437,4.4783,223.299,""
244,1.024e+06,2,64,1,-1,0.133,0.0005,0.2098,0.003072,3.6033,4.5172,221.376,""
245,1.024e+06,2,64,1,-1,0.1269,0.0005,0.1489,0.004,3.6975,4.5315,220.677,""
246,1.024e+06,2,64,1,-1,0.1209,0.0007,0.1411,0.003072,3.7144,4.5348,220.517,""
247,1.024e+06,2,64,1,-1,0.1346,0.0005,0.1546,0.004032,3.6619,4.5391,220.308,""
248,1.024e+06,2,64,1,-1,0.1311,0.0005,0.1482,0.003072,3.7809,4.6454,215.267,""
249,1.024e+06,2,64,1,-1,0.1344,0.0005,0.1633,0.003072,3.5467,4.6799,213.68,""
250,1.024e+06,2,64,1,-1,0.129,0.0005,0.1718,0.003072,3.6858,4.8102,207.892,""
251,1.024e+06,2,64,1,-1,0.13,0.0006,0.1599,0.003072,3.7525,4.6619,214.505,""
252,1.024e+06,2,64,1,-1,0.1285,0.0005,0.1473,0.003072,3.8453,4.7405,210.948,""
